Mode,Year,Month,Ridership,Heat_Wave_Days,Heat_Wave_Events,Cold_Wave_Days,Cold_Wave_Events,Heavy_Precip_Days,Heavy_Precip_Events,Heavy_Snow_Days,Heavy_Snow_Events,Pandemic_Period,Pandemic_Period_Label
Bus,2019,4,874410,0,0,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2019,8,825160,8,1,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2019,12,840749,0,0,9,2,0,0,0,0,Pre-Pandemic,0
Bus,2019,2,864525,0,0,10,2,0,0,0,0,Pre-Pandemic,0
Bus,2019,1,858917,0,0,14,2,0,0,0,0,Pre-Pandemic,0
Bus,2019,7,820207,17,3,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2019,6,817192,4,1,0,0,3,1,0,0,Pre-Pandemic,0
Bus,2019,3,879106,0,0,7,1,0,0,0,0,Pre-Pandemic,0
Bus,2019,5,881000,0,0,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2019,11,910018,0,0,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2019,10,922516,0,0,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2019,9,921221,0,0,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2020,4,346076,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2020,8,342204,6,2,0,0,3,1,0,0,Pandemic,1
Bus,2020,12,384266,0,0,11,2,0,0,0,0,Pandemic,1
Bus,2020,2,909888,0,0,0,0,0,0,0,0,Pre-Pandemic,0
Bus,2020,1,899190,0,0,6,1,0,0,0,0,Pre-Pandemic,0
Bus,2020,7,444382,18,3,0,0,0,0,0,0,Pandemic,1
Bus,2020,6,436408,3,1,0,0,0,0,0,0,Pandemic,1
Bus,2020,3,762130,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2020,5,307162,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2020,11,367952,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2020,10,386394,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2020,9,376155,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2021,4,444200,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2021,8,477275,11,2,0,0,0,0,0,0,Pandemic,1
Bus,2021,12,514675,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2021,2,385483,0,0,18,2,0,0,3,1,Pandemic,1
Bus,2021,2,385483,0,0,18,2,0,0,3,1,Pandemic,1
Bus,2021,1,385435,0,0,13,2,0,0,0,0,Pandemic,1
Bus,2021,7,474650,8,2,0,0,3,1,0,0,Pandemic,1
Bus,2021,6,460494,10,3,0,0,0,0,0,0,Pandemic,1
Bus,2021,3,413459,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2021,5,451568,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2021,11,543908,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2021,10,568434,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2021,9,548693,0,0,0,0,0,0,0,0,Pandemic,1
Bus,2022,4,573022,0,0,0,0,0,0,0,0,Post-Pandemic,2
Bus,2022,8,571219,17,2,0,0,0,0,0,0,Post-Pandemic,2
Bus,2022,12,546641,0,0,8,2,0,0,0,0,Post-Pandemic,2
Bus,2022,2,532966,0,0,7,2,0,0,0,0,Post-Pandemic,2
Bus,2022,1,444573,0,0,16,4,0,0,2,1,Post-Pandemic,2
Bus,2022,7,571349,16,2,0,0,0,0,0,0,Post-Pandemic,2
Bus,2022,6,576976,1,1,0,0,0,0,0,0,Post-Pandemic,2
Bus,2022,3,551376,0,0,0,0,0,0,0,0,Post-Pandemic,2
Bus,2022,5,588145,0,0,0,0,0,0,0,0,Post-Pandemic,2
Bus,2022,11,637362,0,0,0,0,0,0,0,0,Post-Pandemic,2
Bus,2022,10,645013,0,0,0,0,0,0,0,0,Post-Pandemic,2
