Mode,Route,Year,Month,Date,Ridership,Log_Ridership,Heat_Wave_Intensity,Cold_Wave_Intensity,Heavy_Precip_Intensity,Heavy_Snow_Intensity,Pandemic_Period,Pandemic_Period_Label
Bus,1,2019,April,2019-04-01,3826.0,8.249836485425702,0,0,0,0,Pre-Pandemic,0
Bus,1,2019,August,2019-08-01,3310.0,8.105005537547246,8,0,0,0,Pre-Pandemic,0
Bus,1,2019,December,2019-12-01,3432.0,8.141189793457691,0,18,0,0,Pre-Pandemic,0
Bus,1,2019,February,2019-02-01,3585.0,8.184792654165078,0,20,0,0,Pre-Pandemic,0
Bus,1,2019,January,2019-01-01,3581.0,8.183676582620658,0,28,0,0,Pre-Pandemic,0
Bus,1,2019,July,2019-07-01,3244.0,8.08487062913819,51,0,0,0,Pre-Pandemic,0
Bus,1,2019,June,2019-06-01,3173.0,8.062747901086354,4,0,3,0,Pre-Pandemic,0
Bus,1,2019,March,2019-03-01,3705.0,8.217708406845306,0,7,0,0,Pre-Pandemic,0
Bus,1,2019,May,2019-05-01,3811.0,8.245909264774093,0,0,0,0,Pre-Pandemic,0
Bus,1,2019,November,2019-11-01,4186.0,8.339739766019143,0,0,0,0,Pre-Pandemic,0
Bus,1,2019,October,2019-10-01,4262.0,8.35772841676521,0,0,0,0,Pre-Pandemic,0
Bus,1,2019,September,2019-09-01,4253.0,8.355614995760183,0,0,0,0,Pre-Pandemic,0
Bus,1,2020,April,2020-04-01,1672.0,7.422373700986824,0,0,0,0,Pandemic,1
Bus,1,2020,August,2020-08-01,1575.0,7.362645270417825,12,0,3,0,Pandemic,1
Bus,1,2020,December,2020-12-01,1736.0,7.459914766241105,0,22,0,0,Pandemic,1
Bus,1,2020,February,2020-02-01,3776.0,8.236685322712457,0,0,0,0,Pre-Pandemic,0
Bus,1,2020,January,2020-01-01,3732.0,8.224967478914584,0,6,0,0,Pre-Pandemic,0
Bus,1,2020,July,2020-07-01,1852.0,7.52456122628536,54,0,0,0,Pandemic,1
Bus,1,2020,June,2020-06-01,1770.0,7.479299637782834,3,0,0,0,Pandemic,1
Bus,1,2020,March,2020-03-01,3129.0,8.048788283534199,0,0,0,0,Pandemic,1
Bus,1,2020,May,2020-05-01,1332.0,7.195187320178709,0,0,0,0,Pandemic,1
Bus,1,2020,November,2020-11-01,1790.0,7.490529402060711,0,0,0,0,Pandemic,1
Bus,1,2020,October,2020-10-01,1881.0,7.540090320145325,0,0,0,0,Pandemic,1
Bus,1,2020,September,2020-09-01,1830.0,7.5126175446745105,0,0,0,0,Pandemic,1
Bus,1,2021,April,2021-04-01,1913.0,7.5569505720129,0,0,0,0,Pandemic,1
Bus,1,2021,August,2021-08-01,2139.0,7.668561108015897,22,0,0,0,Pandemic,1
Bus,1,2021,December,2021-12-01,2636.0,7.877397186353287,0,0,0,0,Pandemic,1
Bus,1,2021,February,2021-02-01,1671.0,7.421775793644647,0,36,0,3,Pandemic,1
Bus,1,2021,February,2021-02-01,1671.0,7.421775793644647,0,36,0,3,Pandemic,1
Bus,1,2021,January,2021-01-01,1797.0,7.494430215031565,0,26,0,0,Pandemic,1
Bus,1,2021,July,2021-07-01,2012.0,7.607381425639791,16,0,3,0,Pandemic,1
Bus,1,2021,June,2021-06-01,2039.0,7.620705086838262,30,0,0,0,Pandemic,1
Bus,1,2021,March,2021-03-01,1904.0,7.552237287560802,0,0,0,0,Pandemic,1
Bus,1,2021,May,2021-05-01,1913.0,7.5569505720129,0,0,0,0,Pandemic,1
Bus,1,2021,November,2021-11-01,2614.0,7.869019376499024,0,0,0,0,Pandemic,1
Bus,1,2021,October,2021-10-01,2676.0,7.892452043520352,0,0,0,0,Pandemic,1
Bus,1,2021,September,2021-09-01,2507.0,7.827240901752812,0,0,0,0,Pandemic,1
Bus,1,2022,April,2022-04-01,2615.0,7.86940171257709,0,0,0,0,Post-Pandemic,2
Bus,1,2022,August,2022-08-01,2377.0,7.774015077250727,34,0,0,0,Post-Pandemic,2
Bus,1,2022,December,2022-12-01,2511.0,7.828834527588089,0,16,0,0,Post-Pandemic,2
Bus,1,2022,February,2022-02-01,2569.0,7.851661177889265,0,14,0,0,Post-Pandemic,2
Bus,1,2022,January,2022-01-01,2038.0,7.620214770574455,0,64,0,2,Post-Pandemic,2
Bus,1,2022,July,2022-07-01,2398.0,7.782807262839695,32,0,0,0,Post-Pandemic,2
Bus,1,2022,June,2022-06-01,2495.0,7.822444729489319,1,0,0,0,Post-Pandemic,2
Bus,1,2022,March,2022-03-01,2568.0,7.851271997109883,0,0,0,0,Post-Pandemic,2
Bus,1,2022,May,2022-05-01,2832.0,7.949091499830517,0,0,0,0,Post-Pandemic,2
Bus,1,2022,November,2022-11-01,3053.0,8.024207485778577,0,0,0,0,Post-Pandemic,2
Bus,1,2022,October,2022-10-01,3124.0,8.047189562170502,0,0,0,0,Post-Pandemic,2
Bus,1,2022,September,2022-09-01,2968.0,7.99598047476376,0,0,0,0,Post-Pandemic,2
Bus,1,2023,April,2023-04-01,2834.0,7.949797216161852,0,0,0,0,Post-Pandemic,2
